track_id,song_id,artist_id,artist_name,song_title,genre,dot_match_1,dot_match_2,dot_match_3,centered_match_1,centered_match_2,centered_match_3,corr_match_1,corr_match_2,corr_match_3,cosine_match_1,cosine_match_2,cosine_match_3
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Katy Perry - Hot N Cold (Innerpartysystem Main),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Katy Perry - Hot N Cold (Innerpartysystem Main),Tony Bennett - You're All The World To Me,Patricia Barber - You're The Top,Husker Du - You're A Soldier,Tony Bennett - You're All The World To Me,Patricia Barber - You're The Top,Husker Du - You're A Soldier
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,R. Kelly - I Mean (I Don't Mean It),R. Kelly - I Mean (I Don't Mean It),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Naked Aggression - Plastic World,Ozma - The Ups And Downs,Sage Francis - Keep Moving,Naked Aggression - Plastic World,Ozma - The Ups And Downs,Sage Francis - Keep Moving
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Fat Joe - Preacher On A Sunday Morning,Calvin Harris - Ready For The Weekend,KATAKLYSM - Beyond Salvation,Fat Joe - Preacher On A Sunday Morning,Calvin Harris - Ready For The Weekend,KATAKLYSM - Beyond Salvation
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,The Derek Trucks Band - All I Do,Avalon - Overjoyed,Billie Piper - Day And Night,The Derek Trucks Band - All I Do,Avalon - Overjoyed,Billie Piper - Day And Night
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Blues Traveler - Hook,G-Unit - I Don't Want To Talk About It,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Blues Traveler - Hook,G-Unit - I Don't Want To Talk About It
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Albert Hammond Jr - G Up,Anastacia - Club Megamix,Blues Traveler - Hook,Albert Hammond Jr - G Up,Anastacia - Club Megamix,Blues Traveler - Hook
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Manafest - Runaway,The Cat Empire - The Car Song,Ballboy - I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,Manafest - Runaway,The Cat Empire - The Car Song,Ballboy - I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Warrant - Bad Tattoo,Doyle Bramhall - Dimples,Ayo - Only You,Warrant - Bad Tattoo,Doyle Bramhall - Dimples,Ayo - Only You
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),R. Kelly - I Mean (I Don't Mean It),R. Kelly - I Mean (I Don't Mean It),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Kandi - I Wanna Know,Johnny Cash - I Don't Know Where I'm Bound,LMFAO - I Am Not A Whore,Sneaky Sound System - 16,Johnny Cash - I Don't Know Where I'm Bound,LMFAO - I Am Not A Whore,Sneaky Sound System - 16
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Brandy - Give Me You,Leonard Cohen - The Stranger Song,Athlete - New Project,Leonard Cohen - The Stranger Song,Brandy - Give Me You,Athlete - New Project
